,plate,sal,las,chlor,fraction,std
146,4,0.0,1.0,+,0.012757024823939325,8.46652968703798e-05
147,4,0.0,1.0,-,0.024382223904974562,9.368969424154234e-05
148,4,0.0,3.0,+,0.014864843248195259,0.0022691056075606207
149,4,0.0,3.0,-,0.025447067098975085,0.0013077085737321875
150,4,0.0,10.0,+,0.015561031250056341,0.0016353878973584977
151,4,0.0,10.0,-,0.027202663232584252,0.0009421855691155571
152,4,5.0,0.3,+,0.5924866747009567,0.026911233618339817
153,4,5.0,0.3,-,0.7494427326863109,0.031009036181512403
154,4,5.0,1.0,+,0.6985272898998235,0.003868900687654028
155,4,5.0,1.0,-,0.7910364661959683,0.050828311825679456
156,4,5.0,3.0,+,0.7027018940935246,0.04937394555052081
157,4,5.0,3.0,-,0.7782851184266442,0.05489046540934938
158,4,5.0,10.0,+,0.7471761840910047,0.038068048830620344
159,4,5.0,10.0,-,0.8252222001555518,0.04411064713305612
160,4,7.5,0.3,+,0.888843586677146,0.018823659092177134
161,4,7.5,0.3,-,0.9761413479259742,0.0006541092432439976
162,4,7.5,1.0,+,0.9459321615340872,0.01167143551865432
163,4,7.5,1.0,-,0.9792809899872482,0.0014254777525391888
164,4,7.5,3.0,+,0.9639446698801477,0.008424674898450375
165,4,7.5,3.0,-,0.9821488845562074,0.0015535188208407429
166,4,7.5,10.0,+,0.9701961092788909,0.0017961292389526784
167,4,7.5,10.0,-,0.984543731153904,0.0018297627844740716
168,4,10.0,0.3,+,0.8603995378374603,0.003794587697713832
169,4,10.0,0.3,-,0.9798356707785414,0.0013666634640485055
170,4,10.0,1.0,+,1.0,0.0
171,4,10.0,1.0,-,0.9801929661905568,0.0017344525173843372
172,4,10.0,3.0,+,1.0,0.0
173,4,10.0,3.0,-,0.9829822337031706,0.002321342026855753
174,4,10.0,10.0,+,1.0,0.0
175,4,10.0,10.0,-,0.9841614000005838,0.0019401031676423409
176,4,15.0,0.3,+,0.12863121685958215,0.02769932176813933
177,4,15.0,0.3,-,0.973143706177918,0.0006942309613320786
178,4,15.0,1.0,+,0.18075149848960537,0.037248167629181414
179,4,15.0,1.0,-,0.9761305373657744,0.0020510786786859967
180,4,15.0,3.0,+,0.15170307728447266,0.21454054934943503
181,4,15.0,3.0,-,0.9782633552857107,0.00320177286233773
182,4,15.0,10.0,+,0.0,0.0
183,4,15.0,10.0,-,0.9799910307572952,0.0029055578774584223
184,4,30.0,0.3,+,0.0,0.0
185,4,30.0,0.3,-,1.0,0.0
186,4,30.0,1.0,+,0.0,0.0
187,4,30.0,1.0,-,1.0,0.0
188,4,30.0,3.0,+,0.07928947424503975,0.11213224983076744
189,4,30.0,3.0,-,1.0,0.0
190,4,30.0,10.0,+,0.07125494751333677,0.10076971315954392
191,4,30.0,10.0,-,1.0,0.0
192,5,0.0,0.3,+,0.009151827721831932,5.8492669735345885e-05
193,5,0.0,0.3,-,0.0297330991300173,0.0015440138970348727
194,5,0.0,1.0,+,0.012366532967510278,0.0017370319578834685
