,plate,strain,sal,las,iptg,chlor,Measurement,std
126,3,stem,10.0,3,100,+,16037.5,597.4225193836157
127,3,stem,10.0,3,100,-,12767.0,822.0385230226947
128,3,stem,12.5,3,0,+,938.25,39.35627861811463
129,3,stem,12.5,3,0,-,943.5,21.946905628508688
130,3,stem,12.5,3,10,+,15745.75,315.4196939528878
131,3,stem,12.5,3,10,-,17969.75,1462.8126731289503
132,3,stem,12.5,3,30,+,16978.0,269.80857411629205
133,3,stem,12.5,3,30,-,17290.5,688.0259200543732
134,3,stem,12.5,3,100,+,12043.25,842.5304643354648
135,3,stem,12.5,3,100,-,11777.25,620.6955104289593
136,3,stem,15.0,3,0,+,866.0,63.91139700136955
137,3,stem,15.0,3,0,-,938.5,13.576941236277543
138,3,stem,15.0,3,10,+,14947.5,930.5684642554068
139,3,stem,15.0,3,10,-,18495.0,1026.2576024890957
140,3,stem,15.0,3,30,+,16203.75,678.3938752671638
141,3,stem,15.0,3,30,-,15375.0,395.3631242288539
142,3,stem,15.0,3,100,+,10856.75,946.7155063692577
143,3,stem,15.0,3,100,-,12385.75,1758.130517528965
144,4,HCA_1,0.0,0,0,-,10.0,1.4142135623730951
145,4,HCA_2,0.0,0,0,-,12.25,3.593976442141304
146,4,HCA_3,0.0,0,0,-,15.25,6.701989754294367
147,4,LNL,0.0,0,0,-,39.0,56.05354582896607
148,4,ctrl,0.0,0,0,-,837.0,18.49324200890691
149,4,ctrl,0.0,0,10,-,25476.75,651.3792418143724
150,4,ctrl,0.0,0,30,-,10584.0,393.52170630517116
151,4,ctrl,0.0,0,100,-,5136.0,1993.1383962652133
152,4,stem,5.0,3,0,+,620.75,49.91576237355625
153,4,stem,5.0,3,0,-,709.0,22.196095752781982
154,4,stem,5.0,3,10,+,8351.75,1215.7470611384042
155,4,stem,5.0,3,10,-,9838.0,1025.5070290674105
156,4,stem,5.0,3,30,+,8318.75,2100.9582535912828
157,4,stem,5.0,3,30,-,7693.75,1502.6679329335095
158,4,stem,5.0,3,100,+,4526.5,469.7847024613154
159,4,stem,5.0,3,100,-,5247.25,755.3967500591989
160,4,stem,7.5,3,0,+,830.5,14.45683229480096
161,4,stem,7.5,3,0,-,881.75,13.047988350699889
162,4,stem,7.5,3,10,+,18453.25,801.3174048611038
163,4,stem,7.5,3,10,-,21285.25,1628.0578153124666
164,4,stem,7.5,3,30,+,22985.0,890.1902418397241
165,4,stem,7.5,3,30,-,20503.5,1798.398083480592
166,4,stem,7.5,3,100,+,18363.0,1632.7708555295405
167,4,stem,7.5,3,100,-,17145.0,987.1896136676751
168,4,stem,10.0,3,0,+,432.0,169.26310879810757
169,4,stem,10.0,3,0,-,898.5,17.935068069752816
170,4,stem,10.0,3,10,+,16173.75,614.7847184177562
171,4,stem,10.0,3,10,-,23722.75,2117.485517463264
172,4,stem,10.0,3,30,+,18264.0,1249.401723492755
173,4,stem,10.0,3,30,-,17682.75,425.91186490477895
174,4,stem,10.0,3,100,+,16323.0,646.9848014701222
175,4,stem,10.0,3,100,-,13111.75,840.4147289681842
176,4,stem,12.5,3,0,+,226.25,46.349217900629135
177,4,stem,12.5,3,0,-,898.75,16.720745597410836
178,4,stem,12.5,3,10,+,16219.75,211.68431684940654
179,4,stem,12.5,3,10,-,24473.0,1644.0654893687583
180,4,stem,12.5,3,30,+,17141.5,269.45686111138457
181,4,stem,12.5,3,30,-,17435.5,685.8797270659052
182,4,stem,12.5,3,100,+,12210.75,823.9418972233418
183,4,stem,12.5,3,100,-,12110.75,651.6110163791483
184,4,stem,15.0,3,0,+,243.75,13.744695946679453
185,4,stem,15.0,3,0,-,894.5,18.083141320025124
186,4,stem,15.0,3,10,+,15342.5,1023.321552592341
187,4,stem,15.0,3,10,-,24943.5,1348.1049662396467
188,4,stem,15.0,3,30,+,16351.5,686.4364500811419
189,4,stem,15.0,3,30,-,15518.25,383.50608426290535
190,4,stem,15.0,3,100,+,11010.5,930.9602569390379
191,4,stem,15.0,3,100,-,12746.5,1841.9803654400516
192,5,HCA_1,0.0,0,0,-,10.75,2.6299556396765835
193,5,HCA_2,0.0,0,0,-,11.5,2.6457513110645907
194,5,HCA_3,0.0,0,0,-,12.25,2.5
195,5,LNL,0.0,0,0,-,12.0,0.8164965809277263
196,5,ctrl,0.0,0,0,-,841.5,8.020806277010657
197,5,ctrl,0.0,0,10,-,31670.25,614.5954631571346
198,5,ctrl,0.0,0,30,-,10731.0,399.38035338091765
199,5,ctrl,0.0,0,100,-,5311.0,2020.690146129947
200,5,stem,5.0,3,0,+,576.75,62.96758425306363
201,5,stem,5.0,3,0,-,786.25,22.721135535003526
202,5,stem,5.0,3,10,+,11100.5,1192.8144588884447
203,5,stem,5.0,3,10,-,13603.75,1270.543551660732
204,5,stem,5.0,3,30,+,10574.75,2081.5001601409176
205,5,stem,5.0,3,30,-,9750.0,1411.926107603841
206,5,stem,5.0,3,100,+,5968.5,628.7333828155354
207,5,stem,5.0,3,100,-,6386.5,1082.608732029567
208,5,stem,7.5,3,0,+,679.25,37.75689782454769
209,5,stem,7.5,3,0,-,898.5,24.25558354963518
210,5,stem,7.5,3,10,+,22958.5,968.1950561052595
211,5,stem,7.5,3,10,-,27525.0,1806.6217091577303
212,5,stem,7.5,3,30,+,26699.0,2810.1933504061003
213,5,stem,7.5,3,30,-,20928.0,2079.187822203661
214,5,stem,7.5,3,100,+,21742.25,706.3192738887044
215,5,stem,7.5,3,100,-,18503.5,1125.5924366009808
216,5,stem,10.0,3,0,+,382.25,74.50447413858222
217,5,stem,10.0,3,0,-,901.0,22.934689882359418
218,5,stem,10.0,3,10,+,16657.0,463.30119792636015
219,5,stem,10.0,3,10,-,29930.5,2138.532596587358
220,5,stem,10.0,3,30,+,18457.0,1271.7554796422146
221,5,stem,10.0,3,30,-,17824.0,429.7340262689621
222,5,stem,10.0,3,100,+,16501.25,624.7593536714758
223,5,stem,10.0,3,100,-,13333.0,850.4167605748764
224,5,stem,12.5,3,0,+,312.0,71.08680140035374
225,5,stem,12.5,3,0,-,905.75,28.663274993156907
226,5,stem,12.5,3,10,+,16605.25,166.87994686800067
227,5,stem,12.5,3,10,-,30777.0,1783.572258138144
228,5,stem,12.5,3,30,+,17297.0,274.3258403188928
229,5,stem,12.5,3,30,-,17574.75,685.8135679614398
230,5,stem,12.5,3,100,+,12373.75,807.8371845035772
231,5,stem,12.5,3,100,-,12330.5,661.7151955335465
232,5,stem,15.0,3,0,+,378.25,123.53778099566681
233,5,stem,15.0,3,0,-,907.25,21.639085008382402
234,5,stem,15.0,3,10,+,15630.5,1143.8888349252588
235,5,stem,15.0,3,10,-,31063.0,1398.7153629908648
236,5,stem,15.0,3,30,+,16498.75,692.8893009228334
237,5,stem,15.0,3,30,-,15660.0,370.35388481829085
238,5,stem,15.0,3,100,+,11160.5,925.611329518677
239,5,stem,15.0,3,100,-,12976.0,1872.8970429079475
240,6,HCA_1,0.0,0,0,-,11.25,2.06155281280883
241,6,HCA_2,0.0,0,0,-,11.75,1.5
242,6,HCA_3,0.0,0,0,-,10.75,2.7537852736430506
243,6,LNL,0.0,0,0,-,12.0,3.7416573867739413
244,6,ctrl,0.0,0,0,-,825.25,10.965856099730654
245,6,ctrl,0.0,0,10,-,37445.25,600.2401602692042
246,6,ctrl,0.0,0,30,-,10871.75,403.7221610629436
247,6,ctrl,0.0,0,100,-,5467.0,2030.4019306531404
248,6,stem,5.0,3,0,+,548.0,53.360409793528895
249,6,stem,5.0,3,0,-,841.25,26.775299562594377
250,6,stem,5.0,3,10,+,13723.0,1156.3485633666
251,6,stem,5.0,3,10,-,17684.5,1643.1600652401457
252,6,stem,5.0,3,30,+,13086.0,1689.750869211198
253,6,stem,5.0,3,30,-,11926.75,1398.5650682038358
254,6,stem,5.0,3,100,+,7499.5,671.7789815110324
255,6,stem,5.0,3,100,-,7756.75,1080.7464627130023
256,6,stem,7.5,3,0,+,705.0,43.642486944108335
257,6,stem,7.5,3,0,-,905.5,24.241837114102278
258,6,stem,7.5,3,10,+,26553.25,1723.3245728339546
259,6,stem,7.5,3,10,-,33381.75,1833.7583219533947
260,6,stem,7.5,3,30,+,28543.0,4309.14554561961
261,6,stem,7.5,3,30,-,21115.0,2125.7197996600275
262,6,stem,7.5,3,100,+,23697.5,939.7313445873775
263,6,stem,7.5,3,100,-,19004.5,1224.4589281256708
264,6,stem,10.0,3,0,+,382.75,135.14775864462817
265,6,stem,10.0,3,0,-,906.25,25.355801440038668
266,6,stem,10.0,3,10,+,17033.5,512.0511042204025
267,6,stem,10.0,3,10,-,35661.0,2246.456765664544
268,6,stem,10.0,3,30,+,18627.5,1277.9150989013312
269,6,stem,10.0,3,30,-,17968.75,430.7794292519854
270,6,stem,10.0,3,100,+,16676.25,598.5590335686754
271,6,stem,10.0,3,100,-,13504.0,857.1678170969011
272,6,stem,12.5,3,0,+,281.0,52.408650685422785
273,6,stem,12.5,3,0,-,910.75,23.86594505426787
274,6,stem,12.5,3,10,+,16867.25,267.1271544913895
275,6,stem,12.5,3,10,-,36599.0,1988.2697670755522
276,6,stem,12.5,3,30,+,17447.5,276.5435469023519
277,6,stem,12.5,3,30,-,17714.5,687.4176314293953
278,6,stem,12.5,3,100,+,12537.0,791.3326312830362
279,6,stem,12.5,3,100,-,12493.75,666.6020176987167
280,6,stem,15.0,3,0,+,350.25,123.65375044858122
281,6,stem,15.0,3,0,-,899.75,27.765386124933805
282,6,stem,15.0,3,10,+,15858.75,1195.99843227322
283,6,stem,15.0,3,10,-,36887.5,1430.6549782063692
284,6,stem,15.0,3,30,+,16645.0,702.0360864419052
285,6,stem,15.0,3,30,-,15804.75,357.8615886996908
286,6,stem,15.0,3,100,+,11307.25,921.2912586871395
287,6,stem,15.0,3,100,-,13146.5,1886.5802394809507
288,7,HCA_1,0.0,0,0,-,12.0,2.449489742783178
289,7,HCA_2,0.0,0,0,-,12.5,1.7320508075688772
290,7,HCA_3,0.0,0,0,-,12.0,1.8257418583505538
291,7,LNL,0.0,0,0,-,10.75,1.7078251276599332
292,7,ctrl,0.0,0,0,-,833.0,13.73559851869101
293,7,ctrl,0.0,0,10,-,42082.0,319.4453526557132
294,7,ctrl,0.0,0,30,-,11014.0,407.089670711503
295,7,ctrl,0.0,0,100,-,5619.5,2035.4810242298995
296,7,stem,5.0,3,0,+,590.25,74.81699895968386
297,7,stem,5.0,3,0,-,861.25,9.60468635614926
298,7,stem,5.0,3,10,+,16769.75,1506.7873937619734
299,7,stem,5.0,3,10,-,21697.0,2415.4305344320433
300,7,stem,5.0,3,30,+,15606.5,1657.327668265995
301,7,stem,5.0,3,30,-,14252.5,1486.6939833065849
302,7,stem,5.0,3,100,+,9176.5,976.9303967018326
303,7,stem,5.0,3,100,-,9452.75,1133.9498445698557
304,7,stem,7.5,3,0,+,712.5,82.52070447267563
305,7,stem,7.5,3,0,-,890.5,15.329709716755877
306,7,stem,7.5,3,10,+,28381.75,2237.9623730825615
307,7,stem,7.5,3,10,-,38660.25,1913.9086315704833
308,7,stem,7.5,3,30,+,29003.75,4579.498908177619
309,7,stem,7.5,3,30,-,21268.75,2134.10299267241
310,7,stem,7.5,3,100,+,24343.25,1425.868010488114
311,7,stem,7.5,3,100,-,19216.5,1234.8836652359873
312,7,stem,10.0,3,0,+,347.25,126.90514830638931
313,7,stem,10.0,3,0,-,909.75,20.48373338367136
314,7,stem,10.0,3,10,+,17394.0,634.924142450629
315,7,stem,10.0,3,10,-,40249.75,1595.5812681694813
316,7,stem,10.0,3,30,+,18799.25,1283.6293273371405
317,7,stem,10.0,3,30,-,18112.25,433.1561496735333
318,7,stem,10.0,3,100,+,16854.25,572.9673492733535
319,7,stem,10.0,3,100,-,13658.25,857.5136053342437
320,7,stem,12.5,3,0,+,261.5,30.913858812297548
321,7,stem,12.5,3,0,-,904.75,23.514180118955156
322,7,stem,12.5,3,10,+,17092.75,368.97459262122607
323,7,stem,12.5,3,10,-,41433.5,1766.1546742381702
324,7,stem,12.5,3,30,+,17598.75,281.2251470500697
325,7,stem,12.5,3,30,-,17851.0,683.7558043629315
326,7,stem,12.5,3,100,+,12697.25,771.8429784181066
327,7,stem,12.5,3,100,-,12643.5,668.0730997927295
328,7,stem,15.0,3,0,+,339.0,110.30865786510142
329,7,stem,15.0,3,0,-,901.5,15.066519173319373
330,7,stem,15.0,3,10,+,16078.5,1223.3125792971587
331,7,stem,15.0,3,10,-,41783.25,1225.1819932837188
332,7,stem,15.0,3,30,+,16792.0,703.3543440779569
333,7,stem,15.0,3,30,-,15945.25,344.049778375165
334,7,stem,15.0,3,100,+,11454.75,917.8625078590654
335,7,stem,15.0,3,100,-,13298.25,1886.7439987095936
336,8,HCA_1,0.0,0,0,-,121.5,2.1213203435596424
337,8,HCA_2,0.0,0,0,-,119.0,14.142135623730951
338,8,HCA_3,0.0,0,0,-,131.0,2.8284271247461903
339,8,LNL,0.0,0,0,-,21.0,1.4142135623730951
340,8,ctrl,0.0,0,0,-,878.5,48.638119481191566
341,8,ctrl,0.0,0,10,-,44980.25,957.5087031806374
342,8,ctrl,0.0,0,30,-,11167.0,413.7688565693009
