,plate,strain,sal,las,iptg,chlor,replicate,Measurement
399,5,ctrl,0.0,0,100,-,2,148.0
400,5,stem,5.0,3,0,+,1,567.0
401,5,stem,5.0,3,0,+,2,568.0
402,5,stem,5.0,3,0,-,1,758.0
403,5,stem,5.0,3,0,-,2,781.0
404,5,stem,5.0,3,10,+,1,2352.0
405,5,stem,5.0,3,10,+,2,2363.0
406,5,stem,5.0,3,10,-,1,3534.0
407,5,stem,5.0,3,10,-,2,3296.0
408,5,stem,5.0,3,30,+,1,2132.0
409,5,stem,5.0,3,30,+,2,2305.0
410,5,stem,5.0,3,30,-,1,1927.0
411,5,stem,5.0,3,30,-,2,2073.0
412,5,stem,5.0,3,100,+,1,1890.0
413,5,stem,5.0,3,100,+,2,1386.0
414,5,stem,5.0,3,100,-,1,942.0
415,5,stem,5.0,3,100,-,2,1727.0
416,5,stem,7.5,3,0,+,1,663.0
417,5,stem,7.5,3,0,+,2,646.0
418,5,stem,7.5,3,0,-,1,869.0
419,5,stem,7.5,3,0,-,2,895.0
420,5,stem,7.5,3,10,+,1,3825.0
421,5,stem,7.5,3,10,+,2,5033.0
422,5,stem,7.5,3,10,-,1,6156.0
423,5,stem,7.5,3,10,-,2,5982.0
424,5,stem,7.5,3,30,+,1,2667.0
425,5,stem,7.5,3,30,+,2,415.0
426,5,stem,7.5,3,30,-,1,172.0
427,5,stem,7.5,3,30,-,2,205.0
428,5,stem,7.5,3,100,+,1,3723.0
429,5,stem,7.5,3,100,+,2,1818.0
430,5,stem,7.5,3,100,-,1,751.0
431,5,stem,7.5,3,100,-,2,1412.0
432,5,stem,10.0,3,0,+,1,310.0
433,5,stem,10.0,3,0,+,2,470.0
434,5,stem,10.0,3,0,-,1,871.0
435,5,stem,10.0,3,0,-,2,899.0
436,5,stem,10.0,3,10,+,1,559.0
437,5,stem,10.0,3,10,+,2,829.0
438,5,stem,10.0,3,10,-,1,5999.0
439,5,stem,10.0,3,10,-,2,6393.0
440,5,stem,10.0,3,30,+,1,238.0
441,5,stem,10.0,3,30,+,2,156.0
442,5,stem,10.0,3,30,-,1,139.0
443,5,stem,10.0,3,30,-,2,135.0
444,5,stem,10.0,3,100,+,1,176.0
445,5,stem,10.0,3,100,+,2,157.0
446,5,stem,10.0,3,100,-,1,206.0
447,5,stem,10.0,3,100,-,2,191.0
448,5,stem,12.5,3,0,+,1,340.0
449,5,stem,12.5,3,0,+,2,358.0
450,5,stem,12.5,3,0,-,1,873.0
451,5,stem,12.5,3,0,-,2,898.0
452,5,stem,12.5,3,10,+,1,377.0
453,5,stem,12.5,3,10,+,2,679.0
454,5,stem,12.5,3,10,-,1,6056.0
455,5,stem,12.5,3,10,-,2,6314.0
456,5,stem,12.5,3,30,+,1,167.0
457,5,stem,12.5,3,30,+,2,152.0
