,plate,strain,sal,las,iptg,chlor,fraction,std
33,2,stem,5.0,3,0,-,0.08976046750577961,0.17952093501155922
34,2,stem,5.0,3,10,+,0.3030972275824478,0.07769345513524024
35,2,stem,5.0,3,10,-,0.38979285539424574,0.04893969076008505
36,2,stem,5.0,3,30,+,0.17941487588121224,0.05981112965594921
37,2,stem,5.0,3,30,-,0.1721692004871114,0.08647324413715862
38,2,stem,5.0,3,100,+,0.10926198949428145,0.01623163904101446
39,2,stem,5.0,3,100,-,0.1926218759941084,0.07348433657441016
40,2,stem,7.5,3,0,+,1.0,0.0
41,2,stem,7.5,3,0,-,1.0,0.0
42,2,stem,7.5,3,10,+,0.8617591226933983,0.05945650498753628
43,2,stem,7.5,3,10,-,0.9087133350087789,0.00910084976289688
44,2,stem,7.5,3,30,+,0.7503335529887545,0.06862534735271365
45,2,stem,7.5,3,30,-,0.8556041491234169,0.11674674270039691
46,2,stem,7.5,3,100,+,0.6335712828829845,0.08049571700926694
47,2,stem,7.5,3,100,-,0.6359131347046392,0.10389848997476696
48,2,stem,10.0,3,0,+,1.0,0.0
49,2,stem,10.0,3,0,-,1.0,0.0
50,2,stem,10.0,3,10,+,0.9803724327845497,0.017607551616288852
51,2,stem,10.0,3,10,-,0.9847596127868299,0.011796500030857011
52,2,stem,10.0,3,30,+,0.9773959103227396,0.04520817935452083
53,2,stem,10.0,3,30,-,0.8193576736203305,0.05696583189435401
54,2,stem,10.0,3,100,+,0.8872274375131654,0.03547054943882453
55,2,stem,10.0,3,100,-,0.4754791133573959,0.11045978963352633
56,3,ctrl,0.0,0,0,-,1.0,0.0
57,3,ctrl,0.0,0,10,-,0.9761364878460473,0.0005778564061534816
58,3,ctrl,0.0,0,30,-,0.0,0.0
59,3,ctrl,0.0,0,100,-,0.0354533242771047,0.034687270627044665
60,3,stem,5.0,3,0,+,0.1098980855512922,0.2197961711025844
61,3,stem,5.0,3,0,-,0.15425970173848563,0.30851940347697127
62,3,stem,5.0,3,10,+,0.4732144818684698,0.10562257453376105
63,3,stem,5.0,3,10,-,0.49172169540891913,0.05421745009091657
64,3,stem,5.0,3,30,+,0.20637530377297358,0.08697479258675878
65,3,stem,5.0,3,30,-,0.19448197649262208,0.05642424597840276
66,3,stem,5.0,3,100,+,0.1356428153957953,0.06245335561984391
67,3,stem,5.0,3,100,-,0.13303614563895805,0.03873013534444073
68,3,stem,7.5,3,0,+,1.0,0.0
69,3,stem,7.5,3,0,-,1.0,0.0
70,3,stem,7.5,3,10,+,0.9544257996865391,0.02362081630117999
71,3,stem,7.5,3,10,-,0.9685118689071099,0.0045314297817138785
72,3,stem,7.5,3,30,+,0.6895903987057879,0.0392296710311902
73,3,stem,7.5,3,30,-,0.5657615308942652,0.10732704690104307
74,3,stem,7.5,3,100,+,0.6045768512977107,0.01831738384944246
75,3,stem,7.5,3,100,-,0.5077303073053646,0.09214290408098279
76,3,stem,10.0,3,0,+,1.0,0.0
77,3,stem,10.0,3,0,-,1.0,0.0
78,3,stem,10.0,3,10,+,0.9827278802167367,0.005935433361929176
79,3,stem,10.0,3,10,-,0.9765129629884712,0.007473351354837853
80,3,stem,10.0,3,30,+,0.19847874699936108,0.15755892355228532
81,3,stem,10.0,3,30,-,0.03193385572589006,0.005218854508949039
82,3,stem,10.0,3,100,+,0.11242983313368093,0.08665549044803077
83,3,stem,10.0,3,100,-,0.06869866318654386,0.02007949919355742
84,4,ctrl,0.0,0,0,-,1.0,0.0
85,4,ctrl,0.0,0,10,-,0.9769163554986144,0.00900033756797148
86,4,ctrl,0.0,0,30,-,0.0,0.0
87,4,ctrl,0.0,0,100,-,0.011686322085695464,0.013678115768623865
88,4,stem,5.0,3,0,+,0.17186061734203367,0.34372123468406734
89,4,stem,5.0,3,0,-,1.0,0.0
90,4,stem,5.0,3,10,+,0.5894660006062274,0.0855915735993235
