,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
64,64,64,64,64,0,1e-12,0.001,0.0,0.054280515,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,16,4
65,65,65,65,65,0,1e-12,1e-06,0.001,0.035417146000000004,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,59,4
66,66,66,66,66,0,1e-12,1e-06,1e-06,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
67,67,67,67,67,0,1e-12,1e-06,1e-09,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
68,68,68,68,68,0,1e-12,1e-06,1e-12,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
69,69,69,69,69,0,1e-12,1e-06,0.0,0.034199848,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,58,4
70,70,70,70,70,0,1e-12,1e-09,0.001,0.032323498,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,108,4
71,71,71,71,71,0,1e-12,1e-09,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
72,72,72,72,72,0,1e-12,1e-09,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
73,73,73,73,73,0,1e-12,1e-09,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
74,74,74,74,74,0,1e-12,1e-09,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,107,4
75,75,75,75,75,0,1e-12,1e-12,0.001,0.032042719,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,159,4
76,76,76,76,76,0,1e-12,1e-12,1e-06,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
77,77,77,77,77,0,1e-12,1e-12,1e-09,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
78,78,78,78,78,0,1e-12,1e-12,1e-12,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
79,79,79,79,79,0,1e-12,1e-12,0.0,0.032180921,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,158,4
80,80,80,80,80,0,0.001,0.001,0.001,0.07412740799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,12,4
81,81,81,81,81,0,0.001,0.001,1e-06,0.07412740799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,12,4
82,82,82,82,82,0,0.001,0.001,1e-09,0.07412740799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,12,4
83,83,83,83,83,0,0.001,0.001,1e-12,0.07412740799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,12,4
84,84,84,84,84,0,0.001,0.001,0.0,0.07412740799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,12,4
85,85,85,85,85,0,0.001,1e-06,0.001,0.054451770999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,33,4
86,86,86,86,86,0,0.001,1e-06,1e-06,0.05434658,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,37,4
87,87,87,87,87,0,0.001,1e-06,1e-09,0.05434658,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,37,4
88,88,88,88,88,0,0.001,1e-06,1e-12,0.05434658,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,37,4
89,89,89,89,89,0,0.001,1e-06,0.0,0.05434658,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,37,4
90,90,90,90,90,0,0.001,1e-09,0.001,0.054469774000000006,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,34,4
91,91,91,91,91,0,0.001,1e-09,1e-06,0.058802525999999994,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,56,4
92,92,92,92,92,0,0.001,1e-09,1e-09,0.057219056,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,60,4
93,93,93,93,93,0,0.001,1e-09,1e-12,0.057219056,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,60,4
94,94,94,94,94,0,0.001,1e-09,0.0,0.057219056,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,60,4
95,95,95,95,95,0,0.001,1e-12,0.001,0.054469774000000006,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,34,4
96,96,96,96,96,0,0.001,1e-12,1e-06,0.058260636,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,58,4
97,97,97,97,97,0,0.001,1e-12,1e-09,0.063075135,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,77,4
98,98,98,98,98,0,0.001,1e-12,1e-12,0.064797078,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,80,4
99,99,99,99,99,0,0.001,1e-12,0.0,0.064797078,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,80,4
100,100,100,100,100,0,1e-06,0.001,0.001,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
101,101,101,101,101,0,1e-06,0.001,1e-06,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
102,102,102,102,102,0,1e-06,0.001,1e-09,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
103,103,103,103,103,0,1e-06,0.001,1e-12,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
104,104,104,104,104,0,1e-06,0.001,0.0,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
105,105,105,105,105,0,1e-06,1e-06,0.001,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
106,106,106,106,106,0,1e-06,1e-06,1e-06,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
107,107,107,107,107,0,1e-06,1e-06,1e-09,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
108,108,108,108,108,0,1e-06,1e-06,1e-12,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
109,109,109,109,109,0,1e-06,1e-06,0.0,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
110,110,110,110,110,0,1e-06,1e-09,0.001,0.042945005999999994,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,74,4
111,111,111,111,111,0,1e-06,1e-09,1e-06,0.04275298599999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
