,Unnamed: 0,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffproduction,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_div,production
17,0,0.001,1e-12,1e-09,0.064702418,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8373221777.0
18,0,0.001,1e-12,1e-12,0.069272773,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8965407979.0
19,0,0.001,1e-12,0.0,0.069272714,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8967289634.0
20,0,1e-06,0.001,0.001,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6458488669.0
21,0,1e-06,0.001,1e-06,0.08705449300000001,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877030364.0
22,0,1e-06,0.001,1e-09,0.087054862,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1876999964.0
23,0,1e-06,0.001,1e-12,0.08705488900000001,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1876999938.0
24,0,1e-06,0.001,0.0,0.087054884,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1876999940.0
25,0,1e-06,1e-06,0.001,599.9948335,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,10426233607.0
26,0,1e-06,1e-06,1e-06,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,5556997987.0
27,0,1e-06,1e-06,1e-09,0.031150119,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4991760761.0
28,0,1e-06,1e-06,1e-12,0.031150117999999997,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4991760707.0
29,0,1e-06,1e-06,0.0,0.03115012,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4991760708.0
30,0,1e-06,1e-09,0.001,49.40982617,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,10496313440.0
31,0,1e-06,1e-09,1e-06,599.9979987,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,9552961506.0
32,0,1e-06,1e-09,1e-09,0.018672513,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8385412619.0
