,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
69,69,69,0,1e-12,1e-06,0.0,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
70,70,70,0,1e-12,1e-09,0.001,0.025230662,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,148,8
71,71,71,0,1e-12,1e-09,1e-06,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
72,72,72,0,1e-12,1e-09,1e-09,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
73,73,73,0,1e-12,1e-09,1e-12,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
74,74,74,0,1e-12,1e-09,0.0,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
75,75,75,0,1e-12,1e-12,0.001,0.025108442999999998,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,214,8
76,76,76,0,1e-12,1e-12,1e-06,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
77,77,77,0,1e-12,1e-12,1e-09,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
78,78,78,0,1e-12,1e-12,1e-12,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
79,79,79,0,1e-12,1e-12,0.0,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
80,80,80,0,0.001,0.001,0.001,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,8
81,81,81,0,0.001,0.001,1e-06,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,8
82,82,82,0,0.001,0.001,1e-09,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,8
83,83,83,0,0.001,0.001,1e-12,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,8
84,84,84,0,0.001,0.001,0.0,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,8
85,85,85,0,0.001,1e-06,0.001,0.052009885,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,33,8
86,86,86,0,0.001,1e-06,1e-06,0.053956997,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,39,8
87,87,87,0,0.001,1e-06,1e-09,0.053956997,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,39,8
88,88,88,0,0.001,1e-06,1e-12,0.053956997,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,39,8
89,89,89,0,0.001,1e-06,0.0,0.053956997,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,39,8
90,90,90,0,0.001,1e-09,0.001,0.049686892999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,33,8
91,91,91,0,0.001,1e-09,1e-06,0.054406377,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,57,8
92,92,92,0,0.001,1e-09,1e-09,0.05814898,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,62,8
93,93,93,0,0.001,1e-09,1e-12,0.05814898,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,62,8
94,94,94,0,0.001,1e-09,0.0,0.05814898,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,62,8
95,95,95,0,0.001,1e-12,0.001,0.049686892999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,33,8
96,96,96,0,0.001,1e-12,1e-06,0.056454967,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,58,8
97,97,97,0,0.001,1e-12,1e-09,0.058913709,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,77,8
98,98,98,0,0.001,1e-12,1e-12,0.060630048,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,82,8
99,99,99,0,0.001,1e-12,0.0,0.06251654799999999,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,82,8
100,100,100,0,1e-06,0.001,0.001,0.059904371,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
101,101,101,0,1e-06,0.001,1e-06,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
102,102,102,0,1e-06,0.001,1e-09,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
103,103,103,0,1e-06,0.001,1e-12,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
104,104,104,0,1e-06,0.001,0.0,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
105,105,105,0,1e-06,1e-06,0.001,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
106,106,106,0,1e-06,1e-06,1e-06,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
107,107,107,0,1e-06,1e-06,1e-09,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
108,108,108,0,1e-06,1e-06,1e-12,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
109,109,109,0,1e-06,1e-06,0.0,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
110,110,110,0,1e-06,1e-09,0.001,0.040504974,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,76,8
111,111,111,0,1e-06,1e-09,1e-06,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
112,112,112,0,1e-06,1e-09,1e-09,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
113,113,113,0,1e-06,1e-09,1e-12,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
114,114,114,0,1e-06,1e-09,0.0,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
115,115,115,0,1e-06,1e-12,0.001,0.040504974,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,77,8
116,116,116,0,1e-06,1e-12,1e-06,0.039733098,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,116,8
117,117,117,0,1e-06,1e-12,1e-09,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
118,118,118,0,1e-06,1e-12,1e-12,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
119,119,119,0,1e-06,1e-12,0.0,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
120,120,120,0,1e-09,0.001,0.001,0.059904371,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
121,121,121,0,1e-09,0.001,1e-06,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
122,122,122,0,1e-09,0.001,1e-09,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
123,123,123,0,1e-09,0.001,1e-12,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
124,124,124,0,1e-09,0.001,0.0,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
125,125,125,0,1e-09,1e-06,0.001,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
126,126,126,0,1e-09,1e-06,1e-06,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
127,127,127,0,1e-09,1e-06,1e-09,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
128,128,128,0,1e-09,1e-06,1e-12,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
129,129,129,0,1e-09,1e-06,0.0,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
130,130,130,0,1e-09,1e-09,0.001,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
131,131,131,0,1e-09,1e-09,1e-06,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
132,132,132,0,1e-09,1e-09,1e-09,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
133,133,133,0,1e-09,1e-09,1e-12,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
134,134,134,0,1e-09,1e-09,0.0,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
135,135,135,0,1e-09,1e-12,0.001,0.039733098,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,116,8
136,136,136,0,1e-09,1e-12,1e-06,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
137,137,137,0,1e-09,1e-12,1e-09,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
138,138,138,0,1e-09,1e-12,1e-12,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
