Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,sal,las,iptg,replicate,ChanStr
sfYFP,61,1594,0.44277777777777777,D3,2,AFU,503,540,naive,0,0,30,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D4,2,AFU,503,540,naive,0,0,100,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D5,5,AFU,503,540,LNL,0,0,0,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D6,0,AFU,503,540,LNL,0,0,10,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D7,4,AFU,503,540,LNL,0,0,30,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D8,0,AFU,503,540,LNL,0,0,100,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D9,7,AFU,503,540,T7diff,10,1,0,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D10,5,AFU,503,540,T7diff,10,1,10,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D11,5,AFU,503,540,T7diff,10,1,30,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D12,0,AFU,503,540,T7diff,10,1,100,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E1,9,AFU,503,540,naive_hca,0,0,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E2,7,AFU,503,540,naive_hca,0,0,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E3,5,AFU,503,540,naive_hca,0,0,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E4,4,AFU,503,540,naive_hca,0,0,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E5,7,AFU,503,540,T7diff,0,1,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E6,4,AFU,503,540,T7diff,0,1,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E7,0,AFU,503,540,T7diff,0,1,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E8,5,AFU,503,540,T7diff,0,1,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E9,4,AFU,503,540,T7diff,30,1,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E10,3,AFU,503,540,T7diff,30,1,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E11,5,AFU,503,540,T7diff,30,1,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,E12,0,AFU,503,540,T7diff,30,1,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F1,8,AFU,503,540,naive_hca,0,0,0,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F2,7,AFU,503,540,naive_hca,0,0,10,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F3,8,AFU,503,540,naive_hca,0,0,30,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F4,4,AFU,503,540,naive_hca,0,0,100,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F5,0,AFU,503,540,T7diff,0,1,0,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,F6,10,AFU,503,540,T7diff,0,1,10,2,sfYFP61503540
